Epoch 36/500, Train miss rmse:0.2153, obse rmse:0.1553, porosity:0.1180 G loss:16.5336, d loss:0.0600, g loss:4.7354, g loss temp:1.5534, MSE loss:0.0318
Epoch 37/500, Train miss rmse:0.2055, obse rmse:0.1621, porosity:0.0867 G loss:13.0957, d loss:0.0559, g loss:4.4236, g loss temp:0.8609, MSE loss:0.0356
Epoch 38/500, Train miss rmse:0.2036, obse rmse:0.1619, porosity:0.0605 G loss:10.2700, d loss:0.0547, g loss:4.2189, g loss temp:0.6299, MSE loss:0.0359
Epoch 39/500, Train miss rmse:0.2127, obse rmse:0.1559, porosity:0.0619 G loss:10.8715, d loss:0.0595, g loss:4.6820, g loss temp:1.3712, MSE loss:0.0331
Epoch 40/500, Train miss rmse:0.2019, obse rmse:0.1605, porosity:0.0434 G loss:8.9684, d loss:0.0678, g loss:4.6263, g loss temp:1.1044, MSE loss:0.0352
Epoch 41/500, Train miss rmse:0.2133, obse rmse:0.1509, porosity:0.0714 G loss:11.3458, d loss:0.0584, g loss:4.2017, g loss temp:1.1315, MSE loss:0.0307
Epoch 42/500, Train miss rmse:0.1997, obse rmse:0.1583, porosity:0.0554 G loss:9.8654, d loss:0.0350, g loss:4.3245, g loss temp:0.7920, MSE loss:0.0353
Epoch 43/500, Train miss rmse:0.2085, obse rmse:0.1525, porosity:0.0646 G loss:10.7464, d loss:0.0394, g loss:4.2894, g loss temp:1.0827, MSE loss:0.0321
Epoch 44/500, Train miss rmse:0.1984, obse rmse:0.1587, porosity:0.0481 G loss:9.0620, d loss:0.0334, g loss:4.2543, g loss temp:0.8169, MSE loss:0.0344
Epoch 45/500, Train miss rmse:0.2132, obse rmse:0.1516, porosity:0.1192 G loss:16.6490, d loss:0.0332, g loss:4.7246, g loss temp:1.7304, MSE loss:0.0299
Epoch 46/500, Train miss rmse:0.2077, obse rmse:0.1519, porosity:0.0827 G loss:13.0956, d loss:0.0509, g loss:4.8213, g loss temp:1.5967, MSE loss:0.0322
Epoch 47/500, Train miss rmse:0.2044, obse rmse:0.1520, porosity:0.0514 G loss:9.2813, d loss:0.0270, g loss:4.1364, g loss temp:0.9800, MSE loss:0.0316
Epoch 48/500, Train miss rmse:0.2119, obse rmse:0.1470, porosity:0.0813 G loss:12.5242, d loss:0.0347, g loss:4.3946, g loss temp:1.4381, MSE loss:0.0296
Epoch 49/500, Train miss rmse:0.2008, obse rmse:0.1518, porosity:0.0825 G loss:12.6102, d loss:0.0399, g loss:4.3594, g loss temp:1.1885, MSE loss:0.0317
Epoch 50/500, Train miss rmse:0.2034, obse rmse:0.1503, porosity:0.0560 G loss:9.7936, d loss:0.0261, g loss:4.1909, g loss temp:0.9372, MSE loss:0.0325
Epoch 51/500, Train miss rmse:0.2084, obse rmse:0.1457, porosity:0.0227 G loss:6.6502, d loss:0.0217, g loss:4.3785, g loss temp:1.4425, MSE loss:0.0294
Epoch 52/500, Train miss rmse:0.1958, obse rmse:0.1527, porosity:0.0367 G loss:8.0224, d loss:0.0281, g loss:4.3567, g loss temp:0.9561, MSE loss:0.0340
Epoch 53/500, Train miss rmse:0.1963, obse rmse:0.1503, porosity:0.0408 G loss:7.8781, d loss:0.0239, g loss:3.7975, g loss temp:0.6628, MSE loss:0.0313
Epoch 54/500, Train miss rmse:0.1973, obse rmse:0.1495, porosity:0.0622 G loss:10.3064, d loss:0.0196, g loss:4.0899, g loss temp:1.0169, MSE loss:0.0307
Epoch 55/500, Train miss rmse:0.2069, obse rmse:0.1455, porosity:0.0510 G loss:9.3869, d loss:0.0210, g loss:4.2890, g loss temp:1.5066, MSE loss:0.0278
Epoch 56/500, Train miss rmse:0.2103, obse rmse:0.1411, porosity:0.0269 G loss:7.2424, d loss:0.0196, g loss:4.5505, g loss temp:1.7488, MSE loss:0.0280
Epoch 57/500, Train miss rmse:0.2086, obse rmse:0.1442, porosity:0.0471 G loss:9.1835, d loss:0.0224, g loss:4.4735, g loss temp:1.6427, MSE loss:0.0283
Epoch 58/500, Train miss rmse:0.2058, obse rmse:0.1435, porosity:0.0511 G loss:9.2732, d loss:0.0206, g loss:4.1600, g loss temp:1.3345, MSE loss:0.0283
Epoch 59/500, Train miss rmse:0.1985, obse rmse:0.1470, porosity:0.0362 G loss:7.5154, d loss:0.0179, g loss:3.8974, g loss temp:0.9192, MSE loss:0.0298
Epoch 60/500, Train miss rmse:0.1973, obse rmse:0.1462, porosity:0.0583 G loss:9.9041, d loss:0.0176, g loss:4.0717, g loss temp:0.9474, MSE loss:0.0312
Epoch 61/500, Train miss rmse:0.1930, obse rmse:0.1459, porosity:0.0426 G loss:8.1286, d loss:0.0168, g loss:3.8713, g loss temp:0.8510, MSE loss:0.0302
Epoch 62/500, Train miss rmse:0.2050, obse rmse:0.1387, porosity:0.0493 G loss:9.2702, d loss:0.0221, g loss:4.3428, g loss temp:1.6709, MSE loss:0.0267
Epoch 63/500, Train miss rmse:0.1964, obse rmse:0.1434, porosity:0.0291 G loss:6.9369, d loss:0.0268, g loss:4.0278, g loss temp:1.2496, MSE loss:0.0278
Epoch 64/500, Train miss rmse:0.2085, obse rmse:0.1345, porosity:0.0219 G loss:6.4547, d loss:0.0199, g loss:4.2657, g loss temp:1.5818, MSE loss:0.0268
Epoch 65/500, Train miss rmse:0.2025, obse rmse:0.1376, porosity:0.0274 G loss:7.1996, d loss:0.0245, g loss:4.4566, g loss temp:1.5997, MSE loss:0.0286
Epoch 66/500, Train miss rmse:0.1984, obse rmse:0.1394, porosity:0.0270 G loss:6.5501, d loss:0.0135, g loss:3.8524, g loss temp:1.2123, MSE loss:0.0264
Epoch 67/500, Train miss rmse:0.2023, obse rmse:0.1373, porosity:0.0407 G loss:7.9887, d loss:0.0185, g loss:3.9138, g loss temp:1.2656, MSE loss:0.0265
Epoch 68/500, Train miss rmse:0.1952, obse rmse:0.1395, porosity:0.0098 G loss:4.8589, d loss:0.0152, g loss:3.8809, g loss temp:1.1272, MSE loss:0.0275
Epoch 69/500, Train miss rmse:0.2108, obse rmse:0.1302, porosity:0.0537 G loss:10.0059, d loss:0.0165, g loss:4.6322, g loss temp:2.1312, MSE loss:0.0250
Epoch 70/500, Train miss rmse:0.2033, obse rmse:0.1350, porosity:0.0284 G loss:7.2689, d loss:0.0330, g loss:4.4268, g loss temp:1.9028, MSE loss:0.0252
