Epoch 1/5000, Train miss rmse:0.2268, obse rmse:0.1900, porosity:0.0000 G loss:5.0246, d loss:0.6722, g loss:5.0246, g loss temp:0.3181, MSE loss:0.0471
Epoch 2/5000, Train miss rmse:0.2197, obse rmse:0.1961, porosity:0.0000 G loss:5.0103, d loss:0.5887, g loss:5.0103, g loss temp:0.1461, MSE loss:0.0486
Epoch 3/5000, Train miss rmse:0.2168, obse rmse:0.1971, porosity:0.0000 G loss:5.0412, d loss:0.4861, g loss:5.0412, g loss temp:0.0657, MSE loss:0.0498
Epoch 4/5000, Train miss rmse:0.2188, obse rmse:0.1963, porosity:0.0000 G loss:5.1861, d loss:0.5419, g loss:5.1861, g loss temp:0.1445, MSE loss:0.0504
Epoch 5/5000, Train miss rmse:0.2166, obse rmse:0.1965, porosity:0.0000 G loss:5.0831, d loss:0.4731, g loss:5.0831, g loss temp:0.0631, MSE loss:0.0502
Epoch 6/5000, Train miss rmse:0.2255, obse rmse:0.1866, porosity:0.0000 G loss:5.0438, d loss:0.5749, g loss:5.0438, g loss temp:0.3390, MSE loss:0.0470
Epoch 7/5000, Train miss rmse:0.2209, obse rmse:0.1932, porosity:0.0000 G loss:5.2031, d loss:0.5505, g loss:5.2031, g loss temp:0.2292, MSE loss:0.0497
Epoch 8/5000, Train miss rmse:0.2158, obse rmse:0.1967, porosity:0.0000 G loss:5.0537, d loss:0.4592, g loss:5.0537, g loss temp:0.0686, MSE loss:0.0499
Epoch 9/5000, Train miss rmse:0.2176, obse rmse:0.1945, porosity:0.0000 G loss:5.0928, d loss:0.4729, g loss:5.0928, g loss temp:0.1222, MSE loss:0.0497
Epoch 10/5000, Train miss rmse:0.2239, obse rmse:0.1894, porosity:0.0000 G loss:5.0160, d loss:0.5359, g loss:5.0160, g loss temp:0.3543, MSE loss:0.0466
Epoch 11/5000, Train miss rmse:0.2151, obse rmse:0.1967, porosity:0.0000 G loss:4.8994, d loss:0.4474, g loss:4.8994, g loss temp:0.1036, MSE loss:0.0480
Epoch 12/5000, Train miss rmse:0.2153, obse rmse:0.1951, porosity:0.0000 G loss:4.9476, d loss:0.4144, g loss:4.9476, g loss temp:0.0883, MSE loss:0.0486
Epoch 13/5000, Train miss rmse:0.2127, obse rmse:0.1971, porosity:0.0000 G loss:5.0387, d loss:0.3994, g loss:5.0387, g loss temp:0.1060, MSE loss:0.0493
Epoch 14/5000, Train miss rmse:0.2193, obse rmse:0.1909, porosity:0.0000 G loss:4.9851, d loss:0.4653, g loss:4.9851, g loss temp:0.2895, MSE loss:0.0470
Epoch 15/5000, Train miss rmse:0.2156, obse rmse:0.1924, porosity:0.0000 G loss:4.9681, d loss:0.4158, g loss:4.9681, g loss temp:0.2119, MSE loss:0.0476
Epoch 16/5000, Train miss rmse:0.2195, obse rmse:0.1869, porosity:0.0000 G loss:4.8391, d loss:0.4215, g loss:4.8391, g loss temp:0.3525, MSE loss:0.0449
Epoch 17/5000, Train miss rmse:0.2211, obse rmse:0.1828, porosity:0.0000 G loss:5.1113, d loss:0.3899, g loss:5.1113, g loss temp:0.5831, MSE loss:0.0453
Epoch 18/5000, Train miss rmse:0.2174, obse rmse:0.1870, porosity:0.0000 G loss:4.8640, d loss:0.3840, g loss:4.8640, g loss temp:0.3606, MSE loss:0.0450
Epoch 19/5000, Train miss rmse:0.2095, obse rmse:0.1891, porosity:0.0000 G loss:4.7519, d loss:0.3032, g loss:4.7519, g loss temp:0.1436, MSE loss:0.0461
Epoch 20/5000, Train miss rmse:0.2086, obse rmse:0.1871, porosity:0.0000 G loss:4.7315, d loss:0.2851, g loss:4.7315, g loss temp:0.2064, MSE loss:0.0453
Epoch 21/5000, Train miss rmse:0.2106, obse rmse:0.1834, porosity:0.0000 G loss:4.6725, d loss:0.2893, g loss:4.6725, g loss temp:0.2641, MSE loss:0.0441
Epoch 22/5000, Train miss rmse:0.2137, obse rmse:0.1779, porosity:0.0000 G loss:4.7187, d loss:0.3032, g loss:4.7187, g loss temp:0.4609, MSE loss:0.0426
Epoch 23/5000, Train miss rmse:0.2137, obse rmse:0.1766, porosity:0.0000 G loss:4.5906, d loss:0.2877, g loss:4.5906, g loss temp:0.4390, MSE loss:0.0415
Epoch 24/5000, Train miss rmse:0.2085, obse rmse:0.1809, porosity:0.0000 G loss:4.3426, d loss:0.2577, g loss:4.3426, g loss temp:0.3832, MSE loss:0.0396
Epoch 25/5000, Train miss rmse:0.2044, obse rmse:0.1787, porosity:0.0000 G loss:4.4022, d loss:0.2020, g loss:4.4022, g loss temp:0.2605, MSE loss:0.0414
Epoch 26/5000, Train miss rmse:0.2065, obse rmse:0.1757, porosity:0.0000 G loss:4.3604, d loss:0.2045, g loss:4.3604, g loss temp:0.4212, MSE loss:0.0394
Epoch 27/5000, Train miss rmse:0.2178, obse rmse:0.1638, porosity:0.0000 G loss:4.7646, d loss:0.2233, g loss:4.7646, g loss temp:1.0871, MSE loss:0.0368
Epoch 28/5000, Train miss rmse:0.2180, obse rmse:0.1640, porosity:0.0000 G loss:4.5423, d loss:0.2178, g loss:4.5423, g loss temp:0.9041, MSE loss:0.0364
Epoch 29/5000, Train miss rmse:0.2048, obse rmse:0.1704, porosity:0.0000 G loss:4.3061, d loss:0.1835, g loss:4.3061, g loss temp:0.2375, MSE loss:0.0407
Epoch 30/5000, Train miss rmse:0.2100, obse rmse:0.1686, porosity:0.0000 G loss:4.4547, d loss:0.1960, g loss:4.4547, g loss temp:0.6831, MSE loss:0.0377
Epoch 31/5000, Train miss rmse:0.2162, obse rmse:0.1597, porosity:0.0000 G loss:4.5895, d loss:0.1829, g loss:4.5895, g loss temp:1.0516, MSE loss:0.0354
Epoch 32/5000, Train miss rmse:0.2102, obse rmse:0.1623, porosity:0.0000 G loss:4.1996, d loss:0.1620, g loss:4.1996, g loss temp:0.6748, MSE loss:0.0352
Epoch 33/5000, Train miss rmse:0.2148, obse rmse:0.1588, porosity:0.0000 G loss:4.4319, d loss:0.1425, g loss:4.4319, g loss temp:1.0577, MSE loss:0.0337
Epoch 34/5000, Train miss rmse:0.2163, obse rmse:0.1564, porosity:0.0000 G loss:4.4433, d loss:0.1271, g loss:4.4433, g loss temp:0.9659, MSE loss:0.0348
Epoch 35/5000, Train miss rmse:0.2120, obse rmse:0.1562, porosity:0.0000 G loss:4.3834, d loss:0.1111, g loss:4.3834, g loss temp:0.9425, MSE loss:0.0344
Epoch 36/5000, Train miss rmse:0.2123, obse rmse:0.1549, porosity:0.0000 G loss:4.4051, d loss:0.1146, g loss:4.4051, g loss temp:1.0149, MSE loss:0.0339
Epoch 37/5000, Train miss rmse:0.2118, obse rmse:0.1544, porosity:0.0000 G loss:4.2741, d loss:0.0973, g loss:4.2741, g loss temp:1.0183, MSE loss:0.0326
Epoch 38/5000, Train miss rmse:0.2163, obse rmse:0.1524, porosity:0.0000 G loss:4.7111, d loss:0.0980, g loss:4.7111, g loss temp:1.4997, MSE loss:0.0321
Epoch 39/5000, Train miss rmse:0.2065, obse rmse:0.1570, porosity:0.0000 G loss:4.0288, d loss:0.1000, g loss:4.0288, g loss temp:0.5803, MSE loss:0.0345
Epoch 40/5000, Train miss rmse:0.2100, obse rmse:0.1539, porosity:0.0000 G loss:4.3375, d loss:0.0943, g loss:4.3375, g loss temp:1.2311, MSE loss:0.0311
Epoch 41/5000, Train miss rmse:0.2000, obse rmse:0.1575, porosity:0.0000 G loss:4.0409, d loss:0.0631, g loss:4.0409, g loss temp:0.5392, MSE loss:0.0350
Epoch 42/5000, Train miss rmse:0.2080, obse rmse:0.1528, porosity:0.0000 G loss:4.0976, d loss:0.0692, g loss:4.0976, g loss temp:0.9492, MSE loss:0.0315
