Epoch 56/3000, Train miss rmse:0.2057, obse rmse:0.1971, Test miss rmse:0.2062, obse rmse:0.1995
Epoch 57/3000, Train miss rmse:0.2055, obse rmse:0.1967, Test miss rmse:0.2062, obse rmse:0.1992
Epoch 58/3000, Train miss rmse:0.2054, obse rmse:0.1965, Test miss rmse:0.2062, obse rmse:0.1991
Epoch 59/3000, Train miss rmse:0.2042, obse rmse:0.1976, Test miss rmse:0.2052, obse rmse:0.2004
Epoch 60/3000, Train miss rmse:0.2052, obse rmse:0.1955, Test miss rmse:0.2061, obse rmse:0.1982
Epoch 61/3000, Train miss rmse:0.2055, obse rmse:0.1949, Test miss rmse:0.2066, obse rmse:0.1976
Epoch 62/3000, Train miss rmse:0.2048, obse rmse:0.1947, Test miss rmse:0.2060, obse rmse:0.1975
Epoch 63/3000, Train miss rmse:0.2039, obse rmse:0.1952, Test miss rmse:0.2051, obse rmse:0.1983
Epoch 64/3000, Train miss rmse:0.2039, obse rmse:0.1944, Test miss rmse:0.2052, obse rmse:0.1975
Epoch 65/3000, Train miss rmse:0.2034, obse rmse:0.1944, Test miss rmse:0.2046, obse rmse:0.1974
Epoch 66/3000, Train miss rmse:0.2035, obse rmse:0.1934, Test miss rmse:0.2049, obse rmse:0.1965
Epoch 67/3000, Train miss rmse:0.2028, obse rmse:0.1935, Test miss rmse:0.2044, obse rmse:0.1967
Epoch 68/3000, Train miss rmse:0.2030, obse rmse:0.1926, Test miss rmse:0.2048, obse rmse:0.1960
Epoch 69/3000, Train miss rmse:0.2023, obse rmse:0.1924, Test miss rmse:0.2041, obse rmse:0.1958
Epoch 70/3000, Train miss rmse:0.2023, obse rmse:0.1917, Test miss rmse:0.2042, obse rmse:0.1951
Epoch 71/3000, Train miss rmse:0.2011, obse rmse:0.1925, Test miss rmse:0.2031, obse rmse:0.1959
Epoch 72/3000, Train miss rmse:0.2009, obse rmse:0.1920, Test miss rmse:0.2030, obse rmse:0.1959
Epoch 73/3000, Train miss rmse:0.2015, obse rmse:0.1904, Test miss rmse:0.2037, obse rmse:0.1940
Epoch 74/3000, Train miss rmse:0.2008, obse rmse:0.1906, Test miss rmse:0.2033, obse rmse:0.1945
Epoch 75/3000, Train miss rmse:0.2012, obse rmse:0.1889, Test miss rmse:0.2036, obse rmse:0.1928
Epoch 76/3000, Train miss rmse:0.2003, obse rmse:0.1895, Test miss rmse:0.2031, obse rmse:0.1937
Epoch 77/3000, Train miss rmse:0.1998, obse rmse:0.1892, Test miss rmse:0.2025, obse rmse:0.1932
Epoch 78/3000, Train miss rmse:0.2000, obse rmse:0.1880, Test miss rmse:0.2028, obse rmse:0.1922
Epoch 79/3000, Train miss rmse:0.1981, obse rmse:0.1893, Test miss rmse:0.2009, obse rmse:0.1937
Epoch 80/3000, Train miss rmse:0.1986, obse rmse:0.1878, Test miss rmse:0.2015, obse rmse:0.1921
Epoch 81/3000, Train miss rmse:0.1988, obse rmse:0.1869, Test miss rmse:0.2018, obse rmse:0.1913
Epoch 82/3000, Train miss rmse:0.1971, obse rmse:0.1881, Test miss rmse:0.2002, obse rmse:0.1928
Epoch 83/3000, Train miss rmse:0.1980, obse rmse:0.1860, Test miss rmse:0.2013, obse rmse:0.1906
Epoch 84/3000, Train miss rmse:0.1977, obse rmse:0.1860, Test miss rmse:0.2009, obse rmse:0.1905
Epoch 85/3000, Train miss rmse:0.1971, obse rmse:0.1854, Test miss rmse:0.2006, obse rmse:0.1902
Epoch 86/3000, Train miss rmse:0.1964, obse rmse:0.1853, Test miss rmse:0.1999, obse rmse:0.1902
Epoch 87/3000, Train miss rmse:0.1957, obse rmse:0.1855, Test miss rmse:0.1992, obse rmse:0.1904
Epoch 88/3000, Train miss rmse:0.1958, obse rmse:0.1842, Test miss rmse:0.1994, obse rmse:0.1892
Epoch 89/3000, Train miss rmse:0.1952, obse rmse:0.1842, Test miss rmse:0.1990, obse rmse:0.1893
Epoch 90/3000, Train miss rmse:0.1949, obse rmse:0.1836, Test miss rmse:0.1988, obse rmse:0.1889
Epoch 91/3000, Train miss rmse:0.1949, obse rmse:0.1829, Test miss rmse:0.1989, obse rmse:0.1881
Epoch 92/3000, Train miss rmse:0.1945, obse rmse:0.1824, Test miss rmse:0.1987, obse rmse:0.1877
Epoch 93/3000, Train miss rmse:0.1944, obse rmse:0.1818, Test miss rmse:0.1984, obse rmse:0.1873
Epoch 94/3000, Train miss rmse:0.1938, obse rmse:0.1814, Test miss rmse:0.1980, obse rmse:0.1869
Epoch 95/3000, Train miss rmse:0.1936, obse rmse:0.1809, Test miss rmse:0.1980, obse rmse:0.1865
Epoch 96/3000, Train miss rmse:0.1930, obse rmse:0.1806, Test miss rmse:0.1975, obse rmse:0.1865
Epoch 97/3000, Train miss rmse:0.1932, obse rmse:0.1795, Test miss rmse:0.1978, obse rmse:0.1853
Epoch 98/3000, Train miss rmse:0.1924, obse rmse:0.1806, Test miss rmse:0.1967, obse rmse:0.1863
Epoch 99/3000, Train miss rmse:0.1920, obse rmse:0.1798, Test miss rmse:0.1964, obse rmse:0.1855
Epoch 100/3000, Train miss rmse:0.1921, obse rmse:0.1784, Test miss rmse:0.1969, obse rmse:0.1845
Epoch 101/3000, Train miss rmse:0.1909, obse rmse:0.1789, Test miss rmse:0.1956, obse rmse:0.1849
Epoch 102/3000, Train miss rmse:0.1912, obse rmse:0.1778, Test miss rmse:0.1961, obse rmse:0.1838
Epoch 103/3000, Train miss rmse:0.1909, obse rmse:0.1775, Test miss rmse:0.1960, obse rmse:0.1838
Epoch 104/3000, Train miss rmse:0.1892, obse rmse:0.1787, Test miss rmse:0.1941, obse rmse:0.1850
Epoch 105/3000, Train miss rmse:0.1901, obse rmse:0.1769, Test miss rmse:0.1952, obse rmse:0.1832
Epoch 106/3000, Train miss rmse:0.1899, obse rmse:0.1762, Test miss rmse:0.1952, obse rmse:0.1826
Epoch 107/3000, Train miss rmse:0.1890, obse rmse:0.1768, Test miss rmse:0.1943, obse rmse:0.1832
Epoch 108/3000, Train miss rmse:0.1897, obse rmse:0.1751, Test miss rmse:0.1950, obse rmse:0.1813
Epoch 109/3000, Train miss rmse:0.1899, obse rmse:0.1740, Test miss rmse:0.1954, obse rmse:0.1804
Epoch 110/3000, Train miss rmse:0.1885, obse rmse:0.1749, Test miss rmse:0.1938, obse rmse:0.1814
Epoch 111/3000, Train miss rmse:0.1887, obse rmse:0.1738, Test miss rmse:0.1942, obse rmse:0.1802
Epoch 112/3000, Train miss rmse:0.1875, obse rmse:0.1746, Test miss rmse:0.1928, obse rmse:0.1811
Epoch 113/3000, Train miss rmse:0.1877, obse rmse:0.1737, Test miss rmse:0.1933, obse rmse:0.1805
Epoch 114/3000, Train miss rmse:0.1867, obse rmse:0.1740, Test miss rmse:0.1924, obse rmse:0.1808
Epoch 115/3000, Train miss rmse:0.1877, obse rmse:0.1722, Test miss rmse:0.1934, obse rmse:0.1788
Epoch 116/3000, Train miss rmse:0.1865, obse rmse:0.1729, Test miss rmse:0.1922, obse rmse:0.1797
Epoch 117/3000, Train miss rmse:0.1865, obse rmse:0.1717, Test miss rmse:0.1924, obse rmse:0.1786
Epoch 118/3000, Train miss rmse:0.1862, obse rmse:0.1718, Test miss rmse:0.1921, obse rmse:0.1786
Epoch 119/3000, Train miss rmse:0.1844, obse rmse:0.1738, Test miss rmse:0.1903, obse rmse:0.1807
Epoch 120/3000, Train miss rmse:0.1855, obse rmse:0.1711, Test miss rmse:0.1917, obse rmse:0.1780
Epoch 121/3000, Train miss rmse:0.1837, obse rmse:0.1726, Test miss rmse:0.1897, obse rmse:0.1794
